epoch,eval_accuracy,eval_f1,eval_loss,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,,1.0526315789473683e-07,4,,,,,,,,,
0,,,,,,,,,,4,0.1386338174343109,,,,,,,,
,,,,,,,,,2.3684210526315787e-07,9,,,,,,,,,
0,,,,,,,,,,9,0.033089250326156616,,,,,,,,
,,,,,,,,,3.684210526315789e-07,14,,,,,,,,,
0,,,,,,,,,,14,0.13079588115215302,,,,,,,,
,,,,,,,,,5e-07,19,,,,,,,,,
0,,,,,,,,,,19,0.06725727021694183,,,,,,,,
,,,,,,,,,6.31578947368421e-07,24,,,,,,,,,
0,,,,,,,,,,24,0.05308760702610016,,,,,,,,
,,,,,,,,,7.631578947368421e-07,29,,,,,,,,,
0,,,,,,,,,,29,0.052517399191856384,,,,,,,,
,,,,,,,,,8.947368421052631e-07,34,,,,,,,,,
0,,,,,,,,,,34,0.05655890330672264,,,,,,,,
,,,,,,,,,9.736842105263158e-07,39,,,,,,,,,
0,,,,,,,,,,39,0.12199817597866058,,,,,,,,
,,,,,,,,,8.421052631578947e-07,44,,,,,,,,,
0,,,,,,,,,,44,0.04363008961081505,,,,,,,,
,,,,,,,,,7.105263157894736e-07,49,,,,,,,,,
0,,,,,,,,,,49,0.1345144808292389,,,,,,,,
,,,,,,,,,5.789473684210526e-07,54,,,,,,,,,
0,,,,,,,,,,54,0.1367463767528534,,,,,,,,
,,,,,,,,,4.4736842105263156e-07,59,,,,,,,,,
0,,,,,,,,,,59,0.14027529954910278,,,,,,,,
,,,,,,,,,3.157894736842105e-07,64,,,,,,,,,
0,,,,,,,,,,64,0.08115915954113007,,,,,,,,
,,,,,,,,,1.8421052631578946e-07,69,,,,,,,,,
0,,,,,,,,,,69,0.09048918634653091,,,,,,,,
,,,,,,,,,5.2631578947368416e-08,74,,,,,,,,,
0,,,,,,,,,,74,0.0384783074259758,,,,,,,,
0,,,,,,,,,,75,,0.4625000059604645,0.4109589159488678,0.08878335356712341,0.08408354967832565,-0.056563567370176315,0.5357142686843872,0.3333333432674408,-0.07748997211456299
1,0.4677914083003998,0.4357723593711853,0.08193188160657883,0.08900849521160126,0.0005050779436714947,0.6380952596664429,0.33086419105529785,0.006578319706022739,,76,,,,,,,,,
