epoch,eval_accuracy,eval_f1,eval_loss,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,,5.263157894736842e-10,4,,,,,,,,,
0,,,,,,,,,,4,0.09149331599473953,,,,,,,,
,,,,,,,,,1.1842105263157895e-09,9,,,,,,,,,
0,,,,,,,,,,9,0.10205119848251343,,,,,,,,
,,,,,,,,,1.8421052631578947e-09,14,,,,,,,,,
0,,,,,,,,,,14,0.053433097898960114,,,,,,,,
,,,,,,,,,2.5e-09,19,,,,,,,,,
0,,,,,,,,,,19,0.06336331367492676,,,,,,,,
,,,,,,,,,3.157894736842105e-09,24,,,,,,,,,
0,,,,,,,,,,24,0.04140029102563858,,,,,,,,
,,,,,,,,,3.81578947368421e-09,29,,,,,,,,,
0,,,,,,,,,,29,0.14233145117759705,,,,,,,,
,,,,,,,,,4.473684210526315e-09,34,,,,,,,,,
0,,,,,,,,,,34,0.09472857415676117,,,,,,,,
,,,,,,,,,5.131578947368421e-09,39,,,,,,,,,
0,,,,,,,,,,39,0.07418716698884964,,,,,,,,
,,,,,,,,,5.789473684210526e-09,44,,,,,,,,,
0,,,,,,,,,,44,0.07899145781993866,,,,,,,,
,,,,,,,,,6.447368421052631e-09,49,,,,,,,,,
0,,,,,,,,,,49,0.06958480179309845,,,,,,,,
,,,,,,,,,7.105263157894737e-09,54,,,,,,,,,
0,,,,,,,,,,54,0.05102087929844856,,,,,,,,
,,,,,,,,,7.763157894736842e-09,59,,,,,,,,,
0,,,,,,,,,,59,0.048925772309303284,,,,,,,,
,,,,,,,,,8.421052631578947e-09,64,,,,,,,,,
0,,,,,,,,,,64,0.1374332755804062,,,,,,,,
,,,,,,,,,9.078947368421053e-09,69,,,,,,,,,
0,,,,,,,,,,69,0.08970891684293747,,,,,,,,
,,,,,,,,,9.736842105263157e-09,74,,,,,,,,,
0,,,,,,,,,,74,0.05159986391663551,,,,,,,,
,,,,,,,,,1.0394736842105264e-08,79,,,,,,,,,
0,,,,,,,,,,79,0.10464368760585785,,,,,,,,
,,,,,,,,,1.1052631578947366e-08,84,,,,,,,,,
0,,,,,,,,,,84,0.05961226671934128,,,,,,,,
,,,,,,,,,1.1710526315789473e-08,89,,,,,,,,,
0,,,,,,,,,,89,0.08168303966522217,,,,,,,,
,,,,,,,,,1.2368421052631579e-08,94,,,,,,,,,
0,,,,,,,,,,94,0.04436245933175087,,,,,,,,
,,,,,,,,,1.3026315789473683e-08,99,,,,,,,,,
0,,,,,,,,,,99,0.14245332777500153,,,,,,,,
,,,,,,,,,1.368421052631579e-08,104,,,,,,,,,
0,,,,,,,,,,104,0.08744978159666061,,,,,,,,
,,,,,,,,,1.4342105263157892e-08,109,,,,,,,,,
0,,,,,,,,,,109,0.08104711771011353,,,,,,,,
,,,,,,,,,1.5e-08,114,,,,,,,,,
0,,,,,,,,,,114,0.06606452912092209,,,,,,,,
,,,,,,,,,1.5657894736842107e-08,119,,,,,,,,,
0,,,,,,,,,,119,0.10406390577554703,,,,,,,,
,,,,,,,,,1.631578947368421e-08,124,,,,,,,,,
0,,,,,,,,,,124,0.08544925600290298,,,,,,,,
,,,,,,,,,1.6973684210526312e-08,129,,,,,,,,,
0,,,,,,,,,,129,0.07571303844451904,,,,,,,,
,,,,,,,,,1.763157894736842e-08,134,,,,,,,,,
0,,,,,,,,,,134,0.11933242529630661,,,,,,,,
,,,,,,,,,1.8289473684210525e-08,139,,,,,,,,,
0,,,,,,,,,,139,0.08859449625015259,,,,,,,,
,,,,,,,,,1.8947368421052632e-08,144,,,,,,,,,
0,,,,,,,,,,144,0.09244987368583679,,,,,,,,
,,,,,,,,,1.9605263157894737e-08,149,,,,,,,,,
0,,,,,,,,,,149,0.06959711760282516,,,,,,,,
0,,,,,,,,,,151,,0.574999988079071,0.7301587462425232,0.08136649429798126,0.08136649429798126,-0.030332159250974655,0.574999988079071,1.0,-0.0470338836312294
,,,,,,,,,2.0263157894736838e-08,154,,,,,,,,,
1,,,,,,,,,,154,0.0944460779428482,,,,,,,,
,,,,,,,,,2.0921052631578946e-08,159,,,,,,,,,
1,,,,,,,,,,159,0.12730994820594788,,,,,,,,
,,,,,,,,,2.157894736842105e-08,164,,,,,,,,,
1,,,,,,,,,,164,0.0865815281867981,,,,,,,,
,,,,,,,,,2.223684210526316e-08,169,,,,,,,,,
1,,,,,,,,,,169,0.08300485461950302,,,,,,,,
,,,,,,,,,2.2894736842105263e-08,174,,,,,,,,,
1,,,,,,,,,,174,0.12545007467269897,,,,,,,,
,,,,,,,,,2.3552631578947364e-08,179,,,,,,,,,
1,,,,,,,,,,179,0.09836403280496597,,,,,,,,
,,,,,,,,,2.4210526315789472e-08,184,,,,,,,,,
1,,,,,,,,,,184,0.11878260225057602,,,,,,,,
,,,,,,,,,2.4868421052631577e-08,189,,,,,,,,,
1,,,,,,,,,,189,0.08224156498908997,,,,,,,,
,,,,,,,,,2.5526315789473684e-08,194,,,,,,,,,
