epoch,eval_accuracy,eval_f1,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,1.3157894736842104e-10,4,,,,,,,,
0,,,,,,,,,4,0.0822310671210289,,,,,,,
,,,,,,,,2.960526315789474e-10,9,,,,,,,,
0,,,,,,,,,9,0.09136257320642471,,,,,,,
,,,,,,,,4.6052631578947367e-10,14,,,,,,,,
0,,,,,,,,,14,0.05333732068538666,,,,,,,
,,,,,,,,6.25e-10,19,,,,,,,,
0,,,,,,,,,19,0.09988328814506531,,,,,,,
,,,,,,,,7.894736842105263e-10,24,,,,,,,,
0,,,,,,,,,24,0.06214539334177971,,,,,,,
,,,,,,,,9.539473684210525e-10,29,,,,,,,,
0,,,,,,,,,29,0.17883428931236267,,,,,,,
,,,,,,,,1.1184210526315788e-09,34,,,,,,,,
0,,,,,,,,,34,0.15286724269390106,,,,,,,
,,,,,,,,1.2828947368421052e-09,39,,,,,,,,
0,,,,,,,,,39,0.1048688292503357,,,,,,,
,,,,,,,,1.4473684210526315e-09,44,,,,,,,,
0,,,,,,,,,44,0.08806969225406647,,,,,,,
,,,,,,,,1.6118421052631579e-09,49,,,,,,,,
0,,,,,,,,,49,0.14182524383068085,,,,,,,
,,,,,,,,1.7763157894736842e-09,54,,,,,,,,
0,,,,,,,,,54,0.10799670964479446,,,,,,,
,,,,,,,,1.9407894736842105e-09,59,,,,,,,,
0,,,,,,,,,59,0.12630851566791534,,,,,,,
,,,,,,,,2.1052631578947367e-09,64,,,,,,,,
0,,,,,,,,,64,0.14419609308242798,,,,,,,
,,,,,,,,2.2697368421052632e-09,69,,,,,,,,
0,,,,,,,,,69,0.14202125370502472,,,,,,,
,,,,,,,,2.4342105263157894e-09,74,,,,,,,,
0,,,,,,,,,74,0.06315502524375916,,,,,,,
,,,,,,,,2.598684210526316e-09,79,,,,,,,,
0,,,,,,,,,79,0.14120198786258698,,,,,,,
,,,,,,,,2.7631578947368416e-09,84,,,,,,,,
0,,,,,,,,,84,0.05953887104988098,,,,,,,
,,,,,,,,2.927631578947368e-09,89,,,,,,,,
0,,,,,,,,,89,0.14780449867248535,,,,,,,
,,,,,,,,3.0921052631578947e-09,94,,,,,,,,
0,,,,,,,,,94,0.09719929844141006,,,,,,,
,,,,,,,,3.256578947368421e-09,99,,,,,,,,
0,,,,,,,,,99,0.1501975804567337,,,,,,,
,,,,,,,,3.4210526315789474e-09,104,,,,,,,,
0,,,,,,,,,104,0.14250484108924866,,,,,,,
