epoch,eval_accuracy,eval_f1,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,1.0526315789473683e-09,4,,,,,,,,
0,,,,,,,,,4,0.08224181830883026,,,,,,,
,,,,,,,,2.368421052631579e-09,9,,,,,,,,
0,,,,,,,,,9,0.0913740023970604,,,,,,,
,,,,,,,,3.6842105263157894e-09,14,,,,,,,,
0,,,,,,,,,14,0.053329337388277054,,,,,,,
,,,,,,,,5e-09,19,,,,,,,,
0,,,,,,,,,19,0.09986675530672073,,,,,,,
,,,,,,,,6.31578947368421e-09,24,,,,,,,,
0,,,,,,,,,24,0.062151938676834106,,,,,,,
,,,,,,,,7.63157894736842e-09,29,,,,,,,,
0,,,,,,,,,29,0.17872679233551025,,,,,,,
,,,,,,,,8.94736842105263e-09,34,,,,,,,,
0,,,,,,,,,34,0.15281814336776733,,,,,,,
,,,,,,,,1.0263157894736841e-08,39,,,,,,,,
0,,,,,,,,,39,0.1047445610165596,,,,,,,
,,,,,,,,1.1578947368421052e-08,44,,,,,,,,
0,,,,,,,,,44,0.08793837577104568,,,,,,,
,,,,,,,,1.2894736842105263e-08,49,,,,,,,,
0,,,,,,,,,49,0.14141245186328888,,,,,,,
,,,,,,,,1.4210526315789474e-08,54,,,,,,,,
0,,,,,,,,,54,0.10787731409072876,,,,,,,
,,,,,,,,1.5526315789473684e-08,59,,,,,,,,
0,,,,,,,,,59,0.12581299245357513,,,,,,,
,,,,,,,,1.6842105263157893e-08,64,,,,,,,,
0,,,,,,,,,64,0.1440657079219818,,,,,,,
,,,,,,,,1.8157894736842106e-08,69,,,,,,,,
0,,,,,,,,,69,0.1414998322725296,,,,,,,
,,,,,,,,1.9473684210526315e-08,74,,,,,,,,
0,,,,,,,,,74,0.06316554546356201,,,,,,,
,,,,,,,,2.0789473684210527e-08,79,,,,,,,,
0,,,,,,,,,79,0.14074085652828217,,,,,,,
,,,,,,,,2.2105263157894733e-08,84,,,,,,,,
0,,,,,,,,,84,0.05912807956337929,,,,,,,
,,,,,,,,2.3421052631578945e-08,89,,,,,,,,
0,,,,,,,,,89,0.14675475656986237,,,,,,,
,,,,,,,,2.4736842105263158e-08,94,,,,,,,,
0,,,,,,,,,94,0.09669050574302673,,,,,,,
,,,,,,,,2.6052631578947367e-08,99,,,,,,,,
0,,,,,,,,,99,0.14970947802066803,,,,,,,
,,,,,,,,2.736842105263158e-08,104,,,,,,,,
0,,,,,,,,,104,0.14144018292427063,,,,,,,
,,,,,,,,2.8684210526315785e-08,109,,,,,,,,
0,,,,,,,,,109,0.10038219392299652,,,,,,,
,,,,,,,,3e-08,114,,,,,,,,
0,,,,,,,,,114,0.131736621260643,,,,,,,
,,,,,,,,3.131578947368421e-08,119,,,,,,,,
0,,,,,,,,,119,0.09879852831363678,,,,,,,
,,,,,,,,3.263157894736842e-08,124,,,,,,,,
0,,,,,,,,,124,0.17587098479270935,,,,,,,
,,,,,,,,3.3947368421052625e-08,129,,,,,,,,
0,,,,,,,,,129,0.08915286511182785,,,,,,,
,,,,,,,,3.526315789473684e-08,134,,,,,,,,
0,,,,,,,,,134,0.10057821124792099,,,,,,,
,,,,,,,,3.657894736842105e-08,139,,,,,,,,
0,,,,,,,,,139,0.12107628583908081,,,,,,,
,,,,,,,,3.7894736842105265e-08,144,,,,,,,,
0,,,,,,,,,144,0.11199425905942917,,,,,,,
,,,,,,,,3.9210526315789474e-08,149,,,,,,,,
0,,,,,,,,,149,0.14878956973552704,,,,,,,
0,,,,,,,,,151,0.10866974294185638,0.44999998807907104,0.4054054021835327,0.10866974294185638,-0.05234428122639656,0.5357142686843872,0.32608696818351746,-0.04773815721273422
,,,,,,,,4.0526315789473677e-08,154,,,,,,,,
1,,,,,,,,,154,0.15105040371418,,,,,,,
,,,,,,,,4.184210526315789e-08,159,,,,,,,,
1,,,,,,,,,159,0.12168299406766891,,,,,,,
,,,,,,,,4.31578947368421e-08,164,,,,,,,,
1,,,,,,,,,164,0.1545032411813736,,,,,,,
,,,,,,,,4.447368421052632e-08,169,,,,,,,,
1,,,,,,,,,169,0.13715992867946625,,,,,,,
,,,,,,,,4.5789473684210526e-08,174,,,,,,,,
1,,,,,,,,,174,0.07733595371246338,,,,,,,
,,,,,,,,4.710526315789473e-08,179,,,,,,,,
1,,,,,,,,,179,0.08165933191776276,,,,,,,
,,,,,,,,4.8421052631578944e-08,184,,,,,,,,
1,,,,,,,,,184,0.20977754890918732,,,,,,,
,,,,,,,,4.973684210526315e-08,189,,,,,,,,
1,,,,,,,,,189,0.07113617658615112,,,,,,,
,,,,,,,,5.105263157894737e-08,194,,,,,,,,
1,,,,,,,,,194,0.11485761404037476,,,,,,,
,,,,,,,,5.236842105263158e-08,199,,,,,,,,
1,,,,,,,,,199,0.069254569709301,,,,,,,
,,,,,,,,5.368421052631579e-08,204,,,,,,,,
1,,,,,,,,,204,0.06253907084465027,,,,,,,
,,,,,,,,5.4999999999999996e-08,209,,,,,,,,
1,,,,,,,,,209,0.17533738911151886,,,,,,,
,,,,,,,,5.6315789473684205e-08,214,,,,,,,,
1,,,,,,,,,214,0.05995672941207886,,,,,,,
,,,,,,,,5.763157894736842e-08,219,,,,,,,,
1,,,,,,,,,219,0.12569166719913483,,,,,,,
,,,,,,,,5.894736842105263e-08,224,,,,,,,,
1,,,,,,,,,224,0.0937623456120491,,,,,,,
,,,,,,,,6.026315789473684e-08,229,,,,,,,,
1,,,,,,,,,229,0.08889167755842209,,,,,,,
,,,,,,,,6.157894736842105e-08,234,,,,,,,,
1,,,,,,,,,234,0.1520635187625885,,,,,,,
,,,,,,,,6.289473684210527e-08,239,,,,,,,,
1,,,,,,,,,239,0.14363305270671844,,,,,,,
,,,,,,,,6.421052631578947e-08,244,,,,,,,,
1,,,,,,,,,244,0.08883528411388397,,,,,,,
,,,,,,,,6.552631578947368e-08,249,,,,,,,,
1,,,,,,,,,249,0.0982649028301239,,,,,,,
,,,,,,,,6.68421052631579e-08,254,,,,,,,,
1,,,,,,,,,254,0.1467898041009903,,,,,,,
,,,,,,,,6.815789473684211e-08,259,,,,,,,,
1,,,,,,,,,259,0.10528738051652908,,,,,,,
,,,,,,,,6.947368421052632e-08,264,,,,,,,,
1,,,,,,,,,264,0.07449988275766373,,,,,,,
,,,,,,,,7.078947368421052e-08,269,,,,,,,,
1,,,,,,,,,269,0.06368900090456009,,,,,,,
,,,,,,,,7.210526315789473e-08,274,,,,,,,,
1,,,,,,,,,274,0.10507755726575851,,,,,,,
,,,,,,,,7.342105263157894e-08,279,,,,,,,,
1,,,,,,,,,279,0.03814410790801048,,,,,,,
,,,,,,,,7.473684210526315e-08,284,,,,,,,,
1,,,,,,,,,284,0.1660091131925583,,,,,,,
,,,,,,,,7.605263157894737e-08,289,,,,,,,,
1,,,,,,,,,289,0.08285285532474518,,,,,,,
,,,,,,,,7.736842105263157e-08,294,,,,,,,,
1,,,,,,,,,294,0.10566159337759018,,,,,,,
,,,,,,,,7.868421052631578e-08,299,,,,,,,,
1,,,,,,,,,299,0.1182931587100029,,,,,,,
1,,,,,,,,,303,0.10508052259683609,0.4749999940395355,0.44736841320991516,0.10508052259683609,-0.054870299994945526,0.5666666626930237,0.3695652186870575,-0.052045974880456924
,,,,,,,,8e-08,304,,,,,,,,
2,,,,,,,,,304,0.21558065712451935,,,,,,,
,,,,,,,,8.131578947368421e-08,309,,,,,,,,
2,,,,,,,,,309,0.13432227075099945,,,,,,,
,,,,,,,,8.263157894736842e-08,314,,,,,,,,
2,,,,,,,,,314,0.16003455221652985,,,,,,,
,,,,,,,,8.394736842105263e-08,319,,,,,,,,
2,,,,,,,,,319,0.14939147233963013,,,,,,,
,,,,,,,,8.526315789473684e-08,324,,,,,,,,
2,,,,,,,,,324,0.07956096529960632,,,,,,,
,,,,,,,,8.657894736842105e-08,329,,,,,,,,
2,,,,,,,,,329,0.16181884706020355,,,,,,,
,,,,,,,,8.789473684210526e-08,334,,,,,,,,
2,,,,,,,,,334,0.09778419882059097,,,,,,,
,,,,,,,,8.921052631578948e-08,339,,,,,,,,
2,,,,,,,,,339,0.11783545464277267,,,,,,,
,,,,,,,,9.052631578947369e-08,344,,,,,,,,
2,,,,,,,,,344,0.06229478865861893,,,,,,,
,,,,,,,,9.184210526315788e-08,349,,,,,,,,
2,,,,,,,,,349,0.12629367411136627,,,,,,,
,,,,,,,,9.31578947368421e-08,354,,,,,,,,
2,,,,,,,,,354,0.11788921058177948,,,,,,,
,,,,,,,,9.447368421052631e-08,359,,,,,,,,
2,,,,,,,,,359,0.06956326961517334,,,,,,,
,,,,,,,,9.578947368421052e-08,364,,,,,,,,
2,,,,,,,,,364,0.09064700454473495,,,,,,,
,,,,,,,,9.710526315789473e-08,369,,,,,,,,
2,,,,,,,,,369,0.07046669721603394,,,,,,,
,,,,,,,,9.842105263157894e-08,374,,,,,,,,
2,,,,,,,,,374,0.0806129202246666,,,,,,,
,,,,,,,,9.973684210526315e-08,379,,,,,,,,
2,,,,,,,,,379,0.058650292456150055,,,,,,,
,,,,,,,,1.0105263157894736e-07,384,,,,,,,,
2,,,,,,,,,384,0.11563095450401306,,,,,,,
,,,,,,,,1.0236842105263158e-07,389,,,,,,,,
2,,,,,,,,,389,0.147724911570549,,,,,,,
,,,,,,,,1.0368421052631579e-07,394,,,,,,,,
2,,,,,,,,,394,0.17997930943965912,,,,,,,
,,,,,,,,1.0499999999999999e-07,399,,,,,,,,
2,,,,,,,,,399,0.1021214947104454,,,,,,,
,,,,,,,,1.0631578947368421e-07,404,,,,,,,,
2,,,,,,,,,404,0.1307089775800705,,,,,,,
,,,,,,,,1.0763157894736842e-07,409,,,,,,,,
2,,,,,,,,,409,0.09507357329130173,,,,,,,
,,,,,,,,1.0894736842105263e-07,414,,,,,,,,
2,,,,,,,,,414,0.13639333844184875,,,,,,,
,,,,,,,,1.1026315789473684e-07,419,,,,,,,,
2,,,,,,,,,419,0.08981511741876602,,,,,,,
,,,,,,,,1.1157894736842105e-07,424,,,,,,,,
2,,,,,,,,,424,0.19822217524051666,,,,,,,
,,,,,,,,1.1289473684210527e-07,429,,,,,,,,
2,,,,,,,,,429,0.11267832666635513,,,,,,,
,,,,,,,,1.1421052631578946e-07,434,,,,,,,,
2,,,,,,,,,434,0.027881570160388947,,,,,,,
,,,,,,,,1.1552631578947369e-07,439,,,,,,,,
2,,,,,,,,,439,0.0885775089263916,,,,,,,
,,,,,,,,1.168421052631579e-07,444,,,,,,,,
2,,,,,,,,,444,0.11000422388315201,,,,,,,
,,,,,,,,1.1815789473684209e-07,449,,,,,,,,
2,,,,,,,,,449,0.16918224096298218,,,,,,,
,,,,,,,,1.194736842105263e-07,454,,,,,,,,
2,,,,,,,,,454,0.07175150513648987,,,,,,,
2,,,,,,,,,455,0.10126374661922455,0.5249999761581421,0.5365853905677795,0.10126374661922455,-0.057600509375333786,0.6111111044883728,0.47826087474823,-0.058654431253671646
,,,,,,,,1.2078947368421054e-07,459,,,,,,,,
3,,,,,,,,,459,0.10286606848239899,,,,,,,
,,,,,,,,1.2210526315789472e-07,464,,,,,,,,
3,,,,,,,,,464,0.07134991139173508,,,,,,,
,,,,,,,,1.2342105263157893e-07,469,,,,,,,,
3,,,,,,,,,469,0.028689268976449966,,,,,,,
,,,,,,,,1.2473684210526316e-07,474,,,,,,,,
3,,,,,,,,,474,0.08258967846632004,,,,,,,
,,,,,,,,1.2605263157894735e-07,479,,,,,,,,
3,,,,,,,,,479,0.1276942938566208,,,,,,,
,,,,,,,,1.2736842105263158e-07,484,,,,,,,,
3,,,,,,,,,484,0.09136409312486649,,,,,,,
,,,,,,,,1.286842105263158e-07,489,,,,,,,,
3,,,,,,,,,489,0.1057344600558281,,,,,,,
,,,,,,,,1.3e-07,494,,,,,,,,
3,,,,,,,,,494,0.10581911355257034,,,,,,,
,,,,,,,,1.313157894736842e-07,499,,,,,,,,
3,,,,,,,,,499,0.0458330400288105,,,,,,,
,,,,,,,,1.3263157894736842e-07,504,,,,,,,,
3,,,,,,,,,504,0.20629873871803284,,,,,,,
,,,,,,,,1.3394736842105263e-07,509,,,,,,,,
3,,,,,,,,,509,0.10337790101766586,,,,,,,
,,,,,,,,1.3526315789473684e-07,514,,,,,,,,
3,,,,,,,,,514,0.09842213243246078,,,,,,,
,,,,,,,,1.3657894736842104e-07,519,,,,,,,,
3,,,,,,,,,519,0.125748872756958,,,,,,,
,,,,,,,,1.3789473684210525e-07,524,,,,,,,,
3,,,,,,,,,524,0.10072144865989685,,,,,,,
,,,,,,,,1.3921052631578946e-07,529,,,,,,,,
3,,,,,,,,,529,0.09509329497814178,,,,,,,
,,,,,,,,1.405263157894737e-07,534,,,,,,,,
3,,,,,,,,,534,0.12894576787948608,,,,,,,
,,,,,,,,1.418421052631579e-07,539,,,,,,,,
