epoch,eval_accuracy,eval_f1,eval_loss,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,,1.6293279022403256e-08,4,,,,,,,,,
0,,,,,,,,,,4,0.024399183690547943,,,,,,,,
,,,,,,,,,3.6659877800407326e-08,9,,,,,,,,,
0,,,,,,,,,,9,0.10900737345218658,,,,,,,,
,,,,,,,,,5.702647657841141e-08,14,,,,,,,,,
0,,,,,,,,,,14,0.11921972781419754,,,,,,,,
,,,,,,,,,7.739307535641547e-08,19,,,,,,,,,
0,,,,,,,,,,19,0.039774052798748016,,,,,,,,
,,,,,,,,,9.775967413441954e-08,24,,,,,,,,,
0,,,,,,,,,,24,0.08985668420791626,,,,,,,,
,,,,,,,,,1.1812627291242362e-07,29,,,,,,,,,
0,,,,,,,,,,29,0.07223491370677948,,,,,,,,
,,,,,,,,,1.384928716904277e-07,34,,,,,,,,,
0,,,,,,,,,,34,0.04146715998649597,,,,,,,,
,,,,,,,,,1.5885947046843176e-07,39,,,,,,,,,
0,,,,,,,,,,39,0.03772883117198944,,,,,,,,
,,,,,,,,,1.7922606924643582e-07,44,,,,,,,,,
0,,,,,,,,,,44,0.11420145630836487,,,,,,,,
,,,,,,,,,1.995926680244399e-07,49,,,,,,,,,
0,,,,,,,,,,49,0.10054708272218704,,,,,,,,
,,,,,,,,,2.1995926680244397e-07,54,,,,,,,,,
0,,,,,,,,,,54,0.07396308332681656,,,,,,,,
,,,,,,,,,2.403258655804481e-07,59,,,,,,,,,
0,,,,,,,,,,59,0.11934254318475723,,,,,,,,
,,,,,,,,,2.606924643584521e-07,64,,,,,,,,,
0,,,,,,,,,,64,0.046466417610645294,,,,,,,,
,,,,,,,,,2.810590631364562e-07,69,,,,,,,,,
0,,,,,,,,,,69,0.04738302528858185,,,,,,,,
,,,,,,,,,3.0142566191446027e-07,74,,,,,,,,,
0,,,,,,,,,,74,0.09135422110557556,,,,,,,,
,,,,,,,,,3.2179226069246433e-07,79,,,,,,,,,
0,,,,,,,,,,79,0.038115862756967545,,,,,,,,
,,,,,,,,,3.421588594704684e-07,84,,,,,,,,,
0,,,,,,,,,,84,0.05868008732795715,,,,,,,,
,,,,,,,,,3.6252545824847245e-07,89,,,,,,,,,
0,,,,,,,,,,89,0.09321992099285126,,,,,,,,
,,,,,,,,,3.828920570264765e-07,94,,,,,,,,,
0,,,,,,,,,,94,0.08503457903862,,,,,,,,
,,,,,,,,,4.032586558044807e-07,99,,,,,,,,,
0,,,,,,,,,,99,0.12576304376125336,,,,,,,,
,,,,,,,,,4.2362525458248474e-07,104,,,,,,,,,
0,,,,,,,,,,104,0.10386965423822403,,,,,,,,
,,,,,,,,,4.439918533604888e-07,109,,,,,,,,,
0,,,,,,,,,,109,0.09549637138843536,,,,,,,,
,,,,,,,,,4.6435845213849286e-07,114,,,,,,,,,
0,,,,,,,,,,114,0.05169792100787163,,,,,,,,
,,,,,,,,,4.847250509164969e-07,119,,,,,,,,,
0,,,,,,,,,,119,0.07151905447244644,,,,,,,,
,,,,,,,,,5.05091649694501e-07,124,,,,,,,,,
0,,,,,,,,,,124,0.08898909389972687,,,,,,,,
,,,,,,,,,5.254582484725051e-07,129,,,,,,,,,
0,,,,,,,,,,129,0.10888000577688217,,,,,,,,
,,,,,,,,,5.458248472505091e-07,134,,,,,,,,,
0,,,,,,,,,,134,0.04529697820544243,,,,,,,,
,,,,,,,,,5.661914460285132e-07,139,,,,,,,,,
0,,,,,,,,,,139,0.06432539224624634,,,,,,,,
,,,,,,,,,5.865580448065172e-07,144,,,,,,,,,
0,,,,,,,,,,144,0.043277282267808914,,,,,,,,
,,,,,,,,,6.069246435845213e-07,149,,,,,,,,,
0,,,,,,,,,,149,0.057945616543293,,,,,,,,
,,,,,,,,,6.272912423625254e-07,154,,,,,,,,,
0,,,,,,,,,,154,0.14680343866348267,,,,,,,,
,,,,,,,,,6.476578411405295e-07,159,,,,,,,,,
0,,,,,,,,,,159,0.03127124533057213,,,,,,,,
,,,,,,,,,6.680244399185336e-07,164,,,,,,,,,
0,,,,,,,,,,164,0.06111493706703186,,,,,,,,
,,,,,,,,,6.883910386965377e-07,169,,,,,,,,,
0,,,,,,,,,,169,0.05999213084578514,,,,,,,,
,,,,,,,,,7.087576374745418e-07,174,,,,,,,,,
0,,,,,,,,,,174,0.09685833752155304,,,,,,,,
,,,,,,,,,7.291242362525458e-07,179,,,,,,,,,
0,,,,,,,,,,179,0.08772813528776169,,,,,,,,
,,,,,,,,,7.494908350305499e-07,184,,,,,,,,,
0,,,,,,,,,,184,0.03792710602283478,,,,,,,,
,,,,,,,,,7.698574338085539e-07,189,,,,,,,,,
0,,,,,,,,,,189,0.08743774890899658,,,,,,,,
,,,,,,,,,7.90224032586558e-07,194,,,,,,,,,
0,,,,,,,,,,194,0.0605585053563118,,,,,,,,
,,,,,,,,,8.10590631364562e-07,199,,,,,,,,,
0,,,,,,,,,,199,0.07747030258178711,,,,,,,,
,,,,,,,,,8.309572301425662e-07,204,,,,,,,,,
0,,,,,,,,,,204,0.0770508274435997,,,,,,,,
,,,,,,,,,8.513238289205702e-07,209,,,,,,,,,
0,,,,,,,,,,209,0.09515286982059479,,,,,,,,
,,,,,,,,,8.716904276985743e-07,214,,,,,,,,,
0,,,,,,,,,,214,0.07077113538980484,,,,,,,,
,,,,,,,,,8.920570264765783e-07,219,,,,,,,,,
0,,,,,,,,,,219,0.030594192445278168,,,,,,,,
,,,,,,,,,9.124236252545825e-07,224,,,,,,,,,
0,,,,,,,,,,224,0.04415233060717583,,,,,,,,
,,,,,,,,,9.327902240325865e-07,229,,,,,,,,,
0,,,,,,,,,,229,0.09363596141338348,,,,,,,,
,,,,,,,,,9.531568228105906e-07,234,,,,,,,,,
0,,,,,,,,,,234,0.04880823940038681,,,,,,,,
,,,,,,,,,9.735234215885947e-07,239,,,,,,,,,
0,,,,,,,,,,239,0.06603455543518066,,,,,,,,
,,,,,,,,,9.938900203665988e-07,244,,,,,,,,,
0,,,,,,,,,,244,0.064102403819561,,,,,,,,
,,,,,,,,,9.857433808553971e-07,249,,,,,,,,,
0,,,,,,,,,,249,0.06505594402551651,,,,,,,,
,,,,,,,,,9.653767820773931e-07,254,,,,,,,,,
0,,,,,,,,,,254,0.12228147685527802,,,,,,,,
,,,,,,,,,9.450101832993889e-07,259,,,,,,,,,
0,,,,,,,,,,259,0.06569021940231323,,,,,,,,
,,,,,,,,,9.246435845213849e-07,264,,,,,,,,,
0,,,,,,,,,,264,0.08659308403730392,,,,,,,,
,,,,,,,,,9.042769857433808e-07,269,,,,,,,,,
0,,,,,,,,,,269,0.061326995491981506,,,,,,,,
,,,,,,,,,8.839103869653768e-07,274,,,,,,,,,
0,,,,,,,,,,274,0.05125231668353081,,,,,,,,
,,,,,,,,,8.635437881873727e-07,279,,,,,,,,,
0,,,,,,,,,,279,0.09884831309318542,,,,,,,,
,,,,,,,,,8.431771894093686e-07,284,,,,,,,,,
0,,,,,,,,,,284,0.02912469394505024,,,,,,,,
,,,,,,,,,8.228105906313645e-07,289,,,,,,,,,
0,,,,,,,,,,289,0.02660844661295414,,,,,,,,
,,,,,,,,,8.024439918533604e-07,294,,,,,,,,,
0,,,,,,,,,,294,0.05873383581638336,,,,,,,,
,,,,,,,,,7.820773930753563e-07,299,,,,,,,,,
0,,,,,,,,,,299,0.06026691943407059,,,,,,,,
,,,,,,,,,7.617107942973523e-07,304,,,,,,,,,
0,,,,,,,,,,304,0.050461746752262115,,,,,,,,
,,,,,,,,,7.413441955193482e-07,309,,,,,,,,,
0,,,,,,,,,,309,0.09078915417194366,,,,,,,,
,,,,,,,,,7.209775967413442e-07,314,,,,,,,,,
0,,,,,,,,,,314,0.06883058696985245,,,,,,,,
,,,,,,,,,7.006109979633401e-07,319,,,,,,,,,
0,,,,,,,,,,319,0.09523534029722214,,,,,,,,
,,,,,,,,,6.802443991853361e-07,324,,,,,,,,,
0,,,,,,,,,,324,0.07778777182102203,,,,,,,,
,,,,,,,,,6.59877800407332e-07,329,,,,,,,,,
0,,,,,,,,,,329,0.11957342177629471,,,,,,,,
,,,,,,,,,6.39511201629328e-07,334,,,,,,,,,
0,,,,,,,,,,334,0.03847090154886246,,,,,,,,
,,,,,,,,,6.191446028513237e-07,339,,,,,,,,,
0,,,,,,,,,,339,0.04663825407624245,,,,,,,,
,,,,,,,,,5.987780040733197e-07,344,,,,,,,,,
0,,,,,,,,,,344,0.15994693338871002,,,,,,,,
,,,,,,,,,5.784114052953156e-07,349,,,,,,,,,
0,,,,,,,,,,349,0.05117546394467354,,,,,,,,
,,,,,,,,,5.580448065173116e-07,354,,,,,,,,,
0,,,,,,,,,,354,0.07104150205850601,,,,,,,,
,,,,,,,,,5.376782077393075e-07,359,,,,,,,,,
0,,,,,,,,,,359,0.07926803827285767,,,,,,,,
,,,,,,,,,5.173116089613034e-07,364,,,,,,,,,
0,,,,,,,,,,364,0.09788717329502106,,,,,,,,
,,,,,,,,,4.969450101832994e-07,369,,,,,,,,,
0,,,,,,,,,,369,0.031973857432603836,,,,,,,,
,,,,,,,,,4.765784114052953e-07,374,,,,,,,,,
0,,,,,,,,,,374,0.11270636320114136,,,,,,,,
,,,,,,,,,4.5621181262729125e-07,379,,,,,,,,,
0,,,,,,,,,,379,0.0904635637998581,,,,,,,,
,,,,,,,,,4.3584521384928714e-07,384,,,,,,,,,
0,,,,,,,,,,384,0.07978594303131104,,,,,,,,
,,,,,,,,,4.154786150712831e-07,389,,,,,,,,,
0,,,,,,,,,,389,0.052973076701164246,,,,,,,,
,,,,,,,,,3.95112016293279e-07,394,,,,,,,,,
0,,,,,,,,,,394,0.05412350222468376,,,,,,,,
,,,,,,,,,3.7474541751527496e-07,399,,,,,,,,,
0,,,,,,,,,,399,0.09034121781587601,,,,,,,,
,,,,,,,,,3.543788187372709e-07,404,,,,,,,,,
0,,,,,,,,,,404,0.07030748575925827,,,,,,,,
,,,,,,,,,3.340122199592668e-07,409,,,,,,,,,
0,,,,,,,,,,409,0.05653899163007736,,,,,,,,
,,,,,,,,,3.136456211812627e-07,414,,,,,,,,,
0,,,,,,,,,,414,0.07943741232156754,,,,,,,,
,,,,,,,,,2.932790224032586e-07,419,,,,,,,,,
0,,,,,,,,,,419,0.04955120384693146,,,,,,,,
,,,,,,,,,2.7291242362525455e-07,424,,,,,,,,,
