epoch,eval_accuracy,eval_f1,eval_loss,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,,3.252032520325203e-10,4,,,,,,,,,
0,,,,,,,,,,4,0.10131983458995819,,,,,,,,
,,,,,,,,,7.317073170731707e-10,9,,,,,,,,,
0,,,,,,,,,,9,0.0831192284822464,,,,,,,,
,,,,,,,,,1.138211382113821e-09,14,,,,,,,,,
0,,,,,,,,,,14,0.08379627019166946,,,,,,,,
,,,,,,,,,1.5447154471544714e-09,19,,,,,,,,,
0,,,,,,,,,,19,0.04803789407014847,,,,,,,,
,,,,,,,,,1.9512195121951218e-09,24,,,,,,,,,
0,,,,,,,,,,24,0.0966079831123352,,,,,,,,
,,,,,,,,,2.3577235772357723e-09,29,,,,,,,,,
0,,,,,,,,,,29,0.10136689245700836,,,,,,,,
,,,,,,,,,2.7642276422764225e-09,34,,,,,,,,,
0,,,,,,,,,,34,0.09249693155288696,,,,,,,,
,,,,,,,,,3.1707317073170734e-09,39,,,,,,,,,
0,,,,,,,,,,39,0.05366247519850731,,,,,,,,
,,,,,,,,,3.5772357723577236e-09,44,,,,,,,,,
0,,,,,,,,,,44,0.051878415048122406,,,,,,,,
,,,,,,,,,3.983739837398373e-09,49,,,,,,,,,
0,,,,,,,,,,49,0.13136442005634308,,,,,,,,
,,,,,,,,,4.390243902439025e-09,54,,,,,,,,,
0,,,,,,,,,,54,0.13528801500797272,,,,,,,,
,,,,,,,,,4.796747967479674e-09,59,,,,,,,,,
0,,,,,,,,,,59,0.12843644618988037,,,,,,,,
,,,,,,,,,5.203252032520325e-09,64,,,,,,,,,
0,,,,,,,,,,64,0.09179846197366714,,,,,,,,
,,,,,,,,,5.6097560975609755e-09,69,,,,,,,,,
0,,,,,,,,,,69,0.08970076590776443,,,,,,,,
,,,,,,,,,6.016260162601626e-09,74,,,,,,,,,
0,,,,,,,,,,74,0.08185470849275589,,,,,,,,
,,,,,,,,,6.422764227642277e-09,79,,,,,,,,,
0,,,,,,,,,,79,0.02630465291440487,,,,,,,,
,,,,,,,,,6.829268292682926e-09,84,,,,,,,,,
0,,,,,,,,,,84,0.10965435951948166,,,,,,,,
,,,,,,,,,7.235772357723577e-09,89,,,,,,,,,
0,,,,,,,,,,89,0.0890624076128006,,,,,,,,
,,,,,,,,,7.642276422764227e-09,94,,,,,,,,,
0,,,,,,,,,,94,0.11347220093011856,,,,,,,,
,,,,,,,,,8.048780487804877e-09,99,,,,,,,,,
0,,,,,,,,,,99,0.10173836350440979,,,,,,,,
,,,,,,,,,8.455284552845529e-09,104,,,,,,,,,
0,,,,,,,,,,104,0.10319126397371292,,,,,,,,
,,,,,,,,,8.861788617886178e-09,109,,,,,,,,,
0,,,,,,,,,,109,0.055675942450761795,,,,,,,,
,,,,,,,,,9.268292682926828e-09,114,,,,,,,,,
0,,,,,,,,,,114,0.05096309632062912,,,,,,,,
,,,,,,,,,9.674796747967478e-09,119,,,,,,,,,
