epoch,eval_accuracy,eval_f1,eval_loss,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,,6.6006600660066e-11,4,,,,,,,,,
0,,,,,,,,,,4,0.08732441067695618,,,,,,,,
,,,,,,,,,1.4851485148514851e-10,9,,,,,,,,,
0,,,,,,,,,,9,0.06787508726119995,,,,,,,,
,,,,,,,,,2.31023102310231e-10,14,,,,,,,,,
0,,,,,,,,,,14,0.11800222843885422,,,,,,,,
,,,,,,,,,3.1353135313531357e-10,19,,,,,,,,,
0,,,,,,,,,,19,0.12963838875293732,,,,,,,,
,,,,,,,,,3.9603960396039605e-10,24,,,,,,,,,
0,,,,,,,,,,24,0.11578762531280518,,,,,,,,
,,,,,,,,,4.785478547854785e-10,29,,,,,,,,,
0,,,,,,,,,,29,0.08453614264726639,,,,,,,,
,,,,,,,,,5.610561056105611e-10,34,,,,,,,,,
0,,,,,,,,,,34,0.11747949570417404,,,,,,,,
,,,,,,,,,6.435643564356436e-10,39,,,,,,,,,
0,,,,,,,,,,39,0.04710764437913895,,,,,,,,
,,,,,,,,,7.260726072607261e-10,44,,,,,,,,,
0,,,,,,,,,,44,0.10979095846414566,,,,,,,,
,,,,,,,,,8.085808580858085e-10,49,,,,,,,,,
0,,,,,,,,,,49,0.008846696466207504,,,,,,,,
,,,,,,,,,8.91089108910891e-10,54,,,,,,,,,
0,,,,,,,,,,54,0.10828550904989243,,,,,,,,
,,,,,,,,,9.735973597359735e-10,59,,,,,,,,,
0,,,,,,,,,,59,0.10179629921913147,,,,,,,,
,,,,,,,,,1.056105610561056e-09,64,,,,,,,,,
0,,,,,,,,,,64,0.04146190732717514,,,,,,,,
,,,,,,,,,1.1386138613861385e-09,69,,,,,,,,,
0,,,,,,,,,,69,0.05694647878408432,,,,,,,,
,,,,,,,,,1.221122112211221e-09,74,,,,,,,,,
0,,,,,,,,,,74,0.07600146532058716,,,,,,,,
,,,,,,,,,1.3036303630363035e-09,79,,,,,,,,,
0,,,,,,,,,,79,0.08369722962379456,,,,,,,,
,,,,,,,,,1.386138613861386e-09,84,,,,,,,,,
0,,,,,,,,,,84,0.1188739612698555,,,,,,,,
,,,,,,,,,1.4686468646864684e-09,89,,,,,,,,,
0,,,,,,,,,,89,0.11742185056209564,,,,,,,,
,,,,,,,,,1.551155115511551e-09,94,,,,,,,,,
0,,,,,,,,,,94,0.07404205948114395,,,,,,,,
,,,,,,,,,1.6336633663366336e-09,99,,,,,,,,,
0,,,,,,,,,,99,0.06095677241683006,,,,,,,,
,,,,,,,,,1.7161716171617161e-09,104,,,,,,,,,
0,,,,,,,,,,104,0.062742680311203,,,,,,,,
,,,,,,,,,1.7986798679867986e-09,109,,,,,,,,,
0,,,,,,,,,,109,0.06073877587914467,,,,,,,,
,,,,,,,,,1.881188118811881e-09,114,,,,,,,,,
0,,,,,,,,,,114,0.08901115506887436,,,,,,,,
,,,,,,,,,1.9636963696369636e-09,119,,,,,,,,,
0,,,,,,,,,,119,0.07449014484882355,,,,,,,,
,,,,,,,,,2.046204620462046e-09,124,,,,,,,,,
0,,,,,,,,,,124,0.06114164739847183,,,,,,,,
,,,,,,,,,2.128712871287129e-09,129,,,,,,,,,
0,,,,,,,,,,129,0.09449736028909683,,,,,,,,
,,,,,,,,,2.2112211221122112e-09,134,,,,,,,,,
0,,,,,,,,,,134,0.04787910357117653,,,,,,,,
,,,,,,,,,2.293729372937294e-09,139,,,,,,,,,
0,,,,,,,,,,139,0.11652160435914993,,,,,,,,
,,,,,,,,,2.3762376237623762e-09,144,,,,,,,,,
0,,,,,,,,,,144,0.12400093674659729,,,,,,,,
,,,,,,,,,2.458745874587459e-09,149,,,,,,,,,
0,,,,,,,,,,149,0.09571100771427155,,,,,,,,
,,,,,,,,,2.541254125412541e-09,154,,,,,,,,,
0,,,,,,,,,,154,0.03559863939881325,,,,,,,,
,,,,,,,,,2.623762376237624e-09,159,,,,,,,,,
0,,,,,,,,,,159,0.05896366387605667,,,,,,,,
,,,,,,,,,2.706270627062706e-09,164,,,,,,,,,
0,,,,,,,,,,164,0.06014800816774368,,,,,,,,
,,,,,,,,,2.788778877887789e-09,169,,,,,,,,,
0,,,,,,,,,,169,0.08204806596040726,,,,,,,,
,,,,,,,,,2.871287128712871e-09,174,,,,,,,,,
0,,,,,,,,,,174,0.04930666461586952,,,,,,,,
,,,,,,,,,2.953795379537954e-09,179,,,,,,,,,
0,,,,,,,,,,179,0.077846460044384,,,,,,,,
,,,,,,,,,3.036303630363036e-09,184,,,,,,,,,
0,,,,,,,,,,184,0.0943320095539093,,,,,,,,
,,,,,,,,,3.118811881188119e-09,189,,,,,,,,,
0,,,,,,,,,,189,0.06466828286647797,,,,,,,,
,,,,,,,,,3.201320132013201e-09,194,,,,,,,,,
0,,,,,,,,,,194,0.09998617321252823,,,,,,,,
,,,,,,,,,3.2838283828382838e-09,199,,,,,,,,,
0,,,,,,,,,,199,0.1525448113679886,,,,,,,,
,,,,,,,,,3.366336633663366e-09,204,,,,,,,,,
0,,,,,,,,,,204,0.06739333271980286,,,,,,,,
,,,,,,,,,3.4488448844884488e-09,209,,,,,,,,,
0,,,,,,,,,,209,0.10036718845367432,,,,,,,,
,,,,,,,,,3.531353135313531e-09,214,,,,,,,,,
0,,,,,,,,,,214,0.10641629993915558,,,,,,,,
,,,,,,,,,3.6138613861386137e-09,219,,,,,,,,,
0,,,,,,,,,,219,0.08360734581947327,,,,,,,,
,,,,,,,,,3.696369636963696e-09,224,,,,,,,,,
0,,,,,,,,,,224,0.10565140843391418,,,,,,,,
,,,,,,,,,3.778877887788779e-09,229,,,,,,,,,
0,,,,,,,,,,229,0.0969853326678276,,,,,,,,
,,,,,,,,,3.861386138613861e-09,234,,,,,,,,,
0,,,,,,,,,,234,0.15320894122123718,,,,,,,,
,,,,,,,,,3.943894389438943e-09,239,,,,,,,,,
0,,,,,,,,,,239,0.15082266926765442,,,,,,,,
,,,,,,,,,4.026402640264026e-09,244,,,,,,,,,
0,,,,,,,,,,244,0.08760092407464981,,,,,,,,
,,,,,,,,,4.108910891089109e-09,249,,,,,,,,,
0,,,,,,,,,,249,0.08193405717611313,,,,,,,,
,,,,,,,,,4.191419141914191e-09,254,,,,,,,,,
0,,,,,,,,,,254,0.09726731479167938,,,,,,,,
,,,,,,,,,4.273927392739273e-09,259,,,,,,,,,
0,,,,,,,,,,259,0.044220130890607834,,,,,,,,
,,,,,,,,,4.356435643564356e-09,264,,,,,,,,,
0,,,,,,,,,,264,0.06767231225967407,,,,,,,,
,,,,,,,,,4.438943894389439e-09,269,,,,,,,,,
0,,,,,,,,,,269,0.09530268609523773,,,,,,,,
,,,,,,,,,4.521452145214521e-09,274,,,,,,,,,
0,,,,,,,,,,274,0.0776297003030777,,,,,,,,
,,,,,,,,,4.603960396039603e-09,279,,,,,,,,,
0,,,,,,,,,,279,0.11756040900945663,,,,,,,,
,,,,,,,,,4.686468646864686e-09,284,,,,,,,,,
0,,,,,,,,,,284,0.08554569631814957,,,,,,,,
,,,,,,,,,4.7689768976897686e-09,289,,,,,,,,,
0,,,,,,,,,,289,0.0669068992137909,,,,,,,,
,,,,,,,,,4.851485148514851e-09,294,,,,,,,,,
0,,,,,,,,,,294,0.05824628844857216,,,,,,,,
,,,,,,,,,4.933993399339933e-09,299,,,,,,,,,
0,,,,,,,,,,299,0.067903071641922,,,,,,,,
0,,,,,,,,,,302,,0.5625,0.7200000286102295,0.0834658294916153,0.0834658294916153,-0.03370770812034607,0.5625,1.0,-0.04569966718554497
,,,,,,,,,5.016501650165017e-09,304,,,,,,,,,
1,,,,,,,,,,304,0.12697923183441162,,,,,,,,
,,,,,,,,,5.099009900990099e-09,309,,,,,,,,,
1,,,,,,,,,,309,0.057024452835321426,,,,,,,,
,,,,,,,,,5.181518151815182e-09,314,,,,,,,,,
1,,,,,,,,,,314,0.0877121165394783,,,,,,,,
,,,,,,,,,5.264026402640264e-09,319,,,,,,,,,
1,,,,,,,,,,319,0.07467418164014816,,,,,,,,
,,,,,,,,,5.346534653465347e-09,324,,,,,,,,,
1,,,,,,,,,,324,0.12927475571632385,,,,,,,,
,,,,,,,,,5.429042904290429e-09,329,,,,,,,,,
1,,,,,,,,,,329,0.019579701125621796,,,,,,,,
,,,,,,,,,5.5115511551155116e-09,334,,,,,,,,,
1,,,,,,,,,,334,0.06314324587583542,,,,,,,,
,,,,,,,,,5.594059405940594e-09,339,,,,,,,,,
1,,,,,,,,,,339,0.09371685981750488,,,,,,,,
