epoch,eval_accuracy,eval_f1,eval_loss,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,,1.3157894736842104e-10,4,,,,,,,,,
0,,,,,,,,,,4,0.09354139119386673,,,,,,,,
,,,,,,,,,2.960526315789474e-10,9,,,,,,,,,
0,,,,,,,,,,9,0.10063334554433823,,,,,,,,
,,,,,,,,,4.6052631578947367e-10,14,,,,,,,,,
0,,,,,,,,,,14,0.053892288357019424,,,,,,,,
,,,,,,,,,6.25e-10,19,,,,,,,,,
0,,,,,,,,,,19,0.0650738924741745,,,,,,,,
,,,,,,,,,7.894736842105263e-10,24,,,,,,,,,
0,,,,,,,,,,24,0.0402412973344326,,,,,,,,
,,,,,,,,,9.539473684210525e-10,29,,,,,,,,,
0,,,,,,,,,,29,0.1432959884405136,,,,,,,,
,,,,,,,,,1.1184210526315788e-09,34,,,,,,,,,
0,,,,,,,,,,34,0.09497220814228058,,,,,,,,
,,,,,,,,,1.2828947368421052e-09,39,,,,,,,,,
0,,,,,,,,,,39,0.07624850422143936,,,,,,,,
,,,,,,,,,1.4473684210526315e-09,44,,,,,,,,,
0,,,,,,,,,,44,0.07800518721342087,,,,,,,,
,,,,,,,,,1.6118421052631579e-09,49,,,,,,,,,
0,,,,,,,,,,49,0.07301963865756989,,,,,,,,
,,,,,,,,,1.7763157894736842e-09,54,,,,,,,,,
0,,,,,,,,,,54,0.051104139536619186,,,,,,,,
,,,,,,,,,1.9407894736842105e-09,59,,,,,,,,,
0,,,,,,,,,,59,0.0507131926715374,,,,,,,,
,,,,,,,,,2.1052631578947367e-09,64,,,,,,,,,
0,,,,,,,,,,64,0.13830184936523438,,,,,,,,
,,,,,,,,,2.2697368421052632e-09,69,,,,,,,,,
0,,,,,,,,,,69,0.09211511164903641,,,,,,,,
,,,,,,,,,2.4342105263157894e-09,74,,,,,,,,,
0,,,,,,,,,,74,0.05098317936062813,,,,,,,,
,,,,,,,,,2.598684210526316e-09,79,,,,,,,,,
0,,,,,,,,,,79,0.10545919090509415,,,,,,,,
,,,,,,,,,2.7631578947368416e-09,84,,,,,,,,,
0,,,,,,,,,,84,0.05966375023126602,,,,,,,,
,,,,,,,,,2.927631578947368e-09,89,,,,,,,,,
0,,,,,,,,,,89,0.08529293537139893,,,,,,,,
,,,,,,,,,3.0921052631578947e-09,94,,,,,,,,,
0,,,,,,,,,,94,0.04350116476416588,,,,,,,,
,,,,,,,,,3.256578947368421e-09,99,,,,,,,,,
0,,,,,,,,,,99,0.14334847033023834,,,,,,,,
,,,,,,,,,3.4210526315789474e-09,104,,,,,,,,,
0,,,,,,,,,,104,0.08837980031967163,,,,,,,,
,,,,,,,,,3.585526315789473e-09,109,,,,,,,,,
0,,,,,,,,,,109,0.07920113950967789,,,,,,,,
,,,,,,,,,3.75e-09,114,,,,,,,,,
0,,,,,,,,,,114,0.06793298572301865,,,,,,,,
,,,,,,,,,3.914473684210527e-09,119,,,,,,,,,
0,,,,,,,,,,119,0.10063517838716507,,,,,,,,
,,,,,,,,,4.078947368421053e-09,124,,,,,,,,,
0,,,,,,,,,,124,0.08814726769924164,,,,,,,,
,,,,,,,,,4.243421052631578e-09,129,,,,,,,,,
0,,,,,,,,,,129,0.07635858654975891,,,,,,,,
,,,,,,,,,4.407894736842105e-09,134,,,,,,,,,
0,,,,,,,,,,134,0.11690304428339005,,,,,,,,
,,,,,,,,,4.572368421052631e-09,139,,,,,,,,,
0,,,,,,,,,,139,0.09015445411205292,,,,,,,,
,,,,,,,,,4.736842105263158e-09,144,,,,,,,,,
0,,,,,,,,,,144,0.09534323215484619,,,,,,,,
,,,,,,,,,4.901315789473684e-09,149,,,,,,,,,
0,,,,,,,,,,149,0.07334087789058685,,,,,,,,
0,,,,,,,,,,151,,0.5375000238418579,0.6605504751205444,0.0816163644194603,0.0816163644194603,-0.13177812099456787,0.5714285969734192,0.782608687877655,-0.11072388291358948
,,,,,,,,,5.0657894736842096e-09,154,,,,,,,,,
1,,,,,,,,,,154,0.09473492205142975,,,,,,,,
,,,,,,,,,5.2302631578947365e-09,159,,,,,,,,,
1,,,,,,,,,,159,0.1279558539390564,,,,,,,,
,,,,,,,,,5.394736842105263e-09,164,,,,,,,,,
1,,,,,,,,,,164,0.08886447548866272,,,,,,,,
,,,,,,,,,5.55921052631579e-09,169,,,,,,,,,
1,,,,,,,,,,169,0.08153749257326126,,,,,,,,
,,,,,,,,,5.723684210526316e-09,174,,,,,,,,,
1,,,,,,,,,,174,0.12392639368772507,,,,,,,,
,,,,,,,,,5.888157894736841e-09,179,,,,,,,,,
1,,,,,,,,,,179,0.10123435407876968,,,,,,,,
,,,,,,,,,6.052631578947368e-09,184,,,,,,,,,
1,,,,,,,,,,184,0.12144515663385391,,,,,,,,
,,,,,,,,,6.217105263157894e-09,189,,,,,,,,,
1,,,,,,,,,,189,0.08278997242450714,,,,,,,,
