epoch,eval_accuracy,eval_f1,eval_loss,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,,2.64026402640264e-10,4,,,,,,,,,
0,,,,,,,,,,4,0.08844069391489029,,,,,,,,
,,,,,,,,,5.940594059405941e-10,9,,,,,,,,,
0,,,,,,,,,,9,0.06877782195806503,,,,,,,,
,,,,,,,,,9.24092409240924e-10,14,,,,,,,,,
0,,,,,,,,,,14,0.1171887069940567,,,,,,,,
,,,,,,,,,1.2541254125412543e-09,19,,,,,,,,,
0,,,,,,,,,,19,0.12739555537700653,,,,,,,,
,,,,,,,,,1.5841584158415842e-09,24,,,,,,,,,
0,,,,,,,,,,24,0.11608865857124329,,,,,,,,
,,,,,,,,,1.914191419141914e-09,29,,,,,,,,,
0,,,,,,,,,,29,0.0867183730006218,,,,,,,,
,,,,,,,,,2.2442244224422443e-09,34,,,,,,,,,
0,,,,,,,,,,34,0.11759944260120392,,,,,,,,
,,,,,,,,,2.5742574257425743e-09,39,,,,,,,,,
0,,,,,,,,,,39,0.04811122268438339,,,,,,,,
,,,,,,,,,2.9042904290429042e-09,44,,,,,,,,,
0,,,,,,,,,,44,0.11289043724536896,,,,,,,,
,,,,,,,,,3.234323432343234e-09,49,,,,,,,,,
0,,,,,,,,,,49,0.008707939647138119,,,,,,,,
,,,,,,,,,3.564356435643564e-09,54,,,,,,,,,
0,,,,,,,,,,54,0.1080850139260292,,,,,,,,
,,,,,,,,,3.894389438943894e-09,59,,,,,,,,,
0,,,,,,,,,,59,0.10247837007045746,,,,,,,,
,,,,,,,,,4.224422442244224e-09,64,,,,,,,,,
0,,,,,,,,,,64,0.042754121124744415,,,,,,,,
,,,,,,,,,4.554455445544554e-09,69,,,,,,,,,
0,,,,,,,,,,69,0.0564691536128521,,,,,,,,
,,,,,,,,,4.884488448844884e-09,74,,,,,,,,,
0,,,,,,,,,,74,0.0772547572851181,,,,,,,,
,,,,,,,,,5.214521452145214e-09,79,,,,,,,,,
0,,,,,,,,,,79,0.0849500447511673,,,,,,,,
,,,,,,,,,5.544554455445544e-09,84,,,,,,,,,
0,,,,,,,,,,84,0.11917008459568024,,,,,,,,
,,,,,,,,,5.874587458745874e-09,89,,,,,,,,,
0,,,,,,,,,,89,0.11540710180997849,,,,,,,,
,,,,,,,,,6.204620462046204e-09,94,,,,,,,,,
0,,,,,,,,,,94,0.07261776179075241,,,,,,,,
,,,,,,,,,6.5346534653465345e-09,99,,,,,,,,,
0,,,,,,,,,,99,0.0612185113132,,,,,,,,
,,,,,,,,,6.8646864686468644e-09,104,,,,,,,,,
0,,,,,,,,,,104,0.06411252170801163,,,,,,,,
,,,,,,,,,7.194719471947194e-09,109,,,,,,,,,
0,,,,,,,,,,109,0.06203518435359001,,,,,,,,
,,,,,,,,,7.524752475247524e-09,114,,,,,,,,,
0,,,,,,,,,,114,0.08925143629312515,,,,,,,,
,,,,,,,,,7.854785478547854e-09,119,,,,,,,,,
0,,,,,,,,,,119,0.07632551342248917,,,,,,,,
,,,,,,,,,8.184818481848183e-09,124,,,,,,,,,
0,,,,,,,,,,124,0.06064407527446747,,,,,,,,
,,,,,,,,,8.514851485148516e-09,129,,,,,,,,,
0,,,,,,,,,,129,0.0945683941245079,,,,,,,,
,,,,,,,,,8.844884488448845e-09,134,,,,,,,,,
0,,,,,,,,,,134,0.048042017966508865,,,,,,,,
,,,,,,,,,9.174917491749176e-09,139,,,,,,,,,
0,,,,,,,,,,139,0.11889826506376266,,,,,,,,
,,,,,,,,,9.504950495049505e-09,144,,,,,,,,,
0,,,,,,,,,,144,0.125303253531456,,,,,,,,
,,,,,,,,,9.834983498349836e-09,149,,,,,,,,,
0,,,,,,,,,,149,0.09478513896465302,,,,,,,,
,,,,,,,,,1.0165016501650165e-08,154,,,,,,,,,
0,,,,,,,,,,154,0.034751422703266144,,,,,,,,
,,,,,,,,,1.0495049504950496e-08,159,,,,,,,,,
0,,,,,,,,,,159,0.05844876170158386,,,,,,,,
,,,,,,,,,1.0825082508250825e-08,164,,,,,,,,,
0,,,,,,,,,,164,0.06030213087797165,,,,,,,,
,,,,,,,,,1.1155115511551155e-08,169,,,,,,,,,
0,,,,,,,,,,169,0.08261968195438385,,,,,,,,
,,,,,,,,,1.1485148514851485e-08,174,,,,,,,,,
0,,,,,,,,,,174,0.05055046081542969,,,,,,,,
,,,,,,,,,1.1815181518151815e-08,179,,,,,,,,,
0,,,,,,,,,,179,0.07754836976528168,,,,,,,,
,,,,,,,,,1.2145214521452144e-08,184,,,,,,,,,
0,,,,,,,,,,184,0.09540778398513794,,,,,,,,
,,,,,,,,,1.2475247524752475e-08,189,,,,,,,,,
0,,,,,,,,,,189,0.06477994471788406,,,,,,,,
,,,,,,,,,1.2805280528052804e-08,194,,,,,,,,,
0,,,,,,,,,,194,0.10094240307807922,,,,,,,,
,,,,,,,,,1.3135313531353135e-08,199,,,,,,,,,
0,,,,,,,,,,199,0.15285368263721466,,,,,,,,
,,,,,,,,,1.3465346534653464e-08,204,,,,,,,,,
0,,,,,,,,,,204,0.06855243444442749,,,,,,,,
,,,,,,,,,1.3795379537953795e-08,209,,,,,,,,,
0,,,,,,,,,,209,0.10007896274328232,,,,,,,,
,,,,,,,,,1.4125412541254124e-08,214,,,,,,,,,
0,,,,,,,,,,214,0.10660570859909058,,,,,,,,
,,,,,,,,,1.4455445544554455e-08,219,,,,,,,,,
0,,,,,,,,,,219,0.08432099968194962,,,,,,,,
,,,,,,,,,1.4785478547854784e-08,224,,,,,,,,,
0,,,,,,,,,,224,0.10592765361070633,,,,,,,,
,,,,,,,,,1.5115511551155115e-08,229,,,,,,,,,
0,,,,,,,,,,229,0.0975223109126091,,,,,,,,
,,,,,,,,,1.5445544554455444e-08,234,,,,,,,,,
0,,,,,,,,,,234,0.15291428565979004,,,,,,,,
,,,,,,,,,1.5775577557755773e-08,239,,,,,,,,,
