epoch,eval_accuracy,eval_f1,eval_loss,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,,5.263157894736842e-10,4,,,,,,,,,
0,,,,,,,,,,4,0.09392629563808441,,,,,,,,
,,,,,,,,,1.1842105263157895e-09,9,,,,,,,,,
0,,,,,,,,,,9,0.09994959086179733,,,,,,,,
,,,,,,,,,1.8421052631578947e-09,14,,,,,,,,,
0,,,,,,,,,,14,0.05396498367190361,,,,,,,,
,,,,,,,,,2.5e-09,19,,,,,,,,,
0,,,,,,,,,,19,0.06548134237527847,,,,,,,,
,,,,,,,,,3.157894736842105e-09,24,,,,,,,,,
0,,,,,,,,,,24,0.03980066999793053,,,,,,,,
,,,,,,,,,3.81578947368421e-09,29,,,,,,,,,
0,,,,,,,,,,29,0.1443723887205124,,,,,,,,
,,,,,,,,,4.473684210526315e-09,34,,,,,,,,,
0,,,,,,,,,,34,0.09466185420751572,,,,,,,,
,,,,,,,,,5.131578947368421e-09,39,,,,,,,,,
0,,,,,,,,,,39,0.0771840438246727,,,,,,,,
,,,,,,,,,5.789473684210526e-09,44,,,,,,,,,
0,,,,,,,,,,44,0.07795625925064087,,,,,,,,
,,,,,,,,,6.447368421052631e-09,49,,,,,,,,,
0,,,,,,,,,,49,0.07434750348329544,,,,,,,,
,,,,,,,,,7.105263157894737e-09,54,,,,,,,,,
0,,,,,,,,,,54,0.05137822777032852,,,,,,,,
,,,,,,,,,7.763157894736842e-09,59,,,,,,,,,
0,,,,,,,,,,59,0.05112644284963608,,,,,,,,
,,,,,,,,,8.421052631578947e-09,64,,,,,,,,,
0,,,,,,,,,,64,0.13891024887561798,,,,,,,,
,,,,,,,,,9.078947368421053e-09,69,,,,,,,,,
0,,,,,,,,,,69,0.09377023577690125,,,,,,,,
,,,,,,,,,9.736842105263157e-09,74,,,,,,,,,
0,,,,,,,,,,74,0.0509706474840641,,,,,,,,
,,,,,,,,,1.0394736842105264e-08,79,,,,,,,,,
0,,,,,,,,,,79,0.10598611831665039,,,,,,,,
,,,,,,,,,1.1052631578947366e-08,84,,,,,,,,,
0,,,,,,,,,,84,0.05986473709344864,,,,,,,,
,,,,,,,,,1.1710526315789473e-08,89,,,,,,,,,
0,,,,,,,,,,89,0.08638273179531097,,,,,,,,
,,,,,,,,,1.2368421052631579e-08,94,,,,,,,,,
0,,,,,,,,,,94,0.04294496029615402,,,,,,,,
,,,,,,,,,1.3026315789473683e-08,99,,,,,,,,,
0,,,,,,,,,,99,0.1438419371843338,,,,,,,,
,,,,,,,,,1.368421052631579e-08,104,,,,,,,,,
0,,,,,,,,,,104,0.08874456584453583,,,,,,,,
,,,,,,,,,1.4342105263157892e-08,109,,,,,,,,,
0,,,,,,,,,,109,0.07799243181943893,,,,,,,,
,,,,,,,,,1.5e-08,114,,,,,,,,,
0,,,,,,,,,,114,0.06901924312114716,,,,,,,,
,,,,,,,,,1.5657894736842107e-08,119,,,,,,,,,
0,,,,,,,,,,119,0.09981759637594223,,,,,,,,
,,,,,,,,,1.631578947368421e-08,124,,,,,,,,,
0,,,,,,,,,,124,0.08932500332593918,,,,,,,,
,,,,,,,,,1.6973684210526312e-08,129,,,,,,,,,
