epoch,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,6.6006600660066e-11,4,,,,,,,,,
0,,4,0.08671557903289795,,,,,,,,
,1.4851485148514851e-10,9,,,,,,,,,
0,,9,0.07396278530359268,,,,,,,,
,2.31023102310231e-10,14,,,,,,,,,
0,,14,0.11612099409103394,,,,,,,,
,3.1353135313531357e-10,19,,,,,,,,,
0,,19,0.12595658004283905,,,,,,,,
,3.9603960396039605e-10,24,,,,,,,,,
0,,24,0.12061122804880142,,,,,,,,
,4.785478547854785e-10,29,,,,,,,,,
0,,29,0.09144732356071472,,,,,,,,
,5.610561056105611e-10,34,,,,,,,,,
0,,34,0.11829084157943726,,,,,,,,
,6.435643564356436e-10,39,,,,,,,,,
0,,39,0.04975521191954613,,,,,,,,
,7.260726072607261e-10,44,,,,,,,,,
0,,44,0.1165003776550293,,,,,,,,
,8.085808580858085e-10,49,,,,,,,,,
0,,49,0.008899637497961521,,,,,,,,
,8.91089108910891e-10,54,,,,,,,,,
0,,54,0.10682077705860138,,,,,,,,
,9.735973597359735e-10,59,,,,,,,,,
0,,59,0.10471770167350769,,,,,,,,
,1.056105610561056e-09,64,,,,,,,,,
0,,64,0.04542670026421547,,,,,,,,
,1.1386138613861385e-09,69,,,,,,,,,
0,,69,0.052823711186647415,,,,,,,,
,1.221122112211221e-09,74,,,,,,,,,
0,,74,0.07857342809438705,,,,,,,,
,1.3036303630363035e-09,79,,,,,,,,,
0,,79,0.0857284814119339,,,,,,,,
,1.386138613861386e-09,84,,,,,,,,,
0,,84,0.12413644790649414,,,,,,,,
,1.4686468646864684e-09,89,,,,,,,,,
0,,89,0.11498462408781052,,,,,,,,
,1.551155115511551e-09,94,,,,,,,,,
0,,94,0.07035590708255768,,,,,,,,
,1.6336633663366336e-09,99,,,,,,,,,
0,,99,0.0628555417060852,,,,,,,,
,1.7161716171617161e-09,104,,,,,,,,,
0,,104,0.0662296861410141,,,,,,,,
,1.7986798679867986e-09,109,,,,,,,,,
0,,109,0.06379835307598114,,,,,,,,
,1.881188118811881e-09,114,,,,,,,,,
0,,114,0.08854742348194122,,,,,,,,
,1.9636963696369636e-09,119,,,,,,,,,
0,,119,0.08049488812685013,,,,,,,,
,2.046204620462046e-09,124,,,,,,,,,
0,,124,0.058033548295497894,,,,,,,,
,2.128712871287129e-09,129,,,,,,,,,
0,,129,0.09372483938932419,,,,,,,,
,2.2112211221122112e-09,134,,,,,,,,,
0,,134,0.04927050322294235,,,,,,,,
,2.293729372937294e-09,139,,,,,,,,,
0,,139,0.12170121818780899,,,,,,,,
,2.3762376237623762e-09,144,,,,,,,,,
0,,144,0.12988118827342987,,,,,,,,
,2.458745874587459e-09,149,,,,,,,,,
0,,149,0.09267783910036087,,,,,,,,
,2.541254125412541e-09,154,,,,,,,,,
0,,154,0.031714681535959244,,,,,,,,
,2.623762376237624e-09,159,,,,,,,,,
0,,159,0.059662386775016785,,,,,,,,
,2.706270627062706e-09,164,,,,,,,,,
0,,164,0.059934936463832855,,,,,,,,
,2.788778877887789e-09,169,,,,,,,,,
0,,169,0.08279377967119217,,,,,,,,
,2.871287128712871e-09,174,,,,,,,,,
0,,174,0.052887290716171265,,,,,,,,
,2.953795379537954e-09,179,,,,,,,,,
0,,179,0.07491366565227509,,,,,,,,
,3.036303630363036e-09,184,,,,,,,,,
0,,184,0.09618525207042694,,,,,,,,
,3.118811881188119e-09,189,,,,,,,,,
0,,189,0.06096380949020386,,,,,,,,
,3.201320132013201e-09,194,,,,,,,,,
0,,194,0.10392572730779648,,,,,,,,
,3.2838283828382838e-09,199,,,,,,,,,
0,,199,0.15641187131404877,,,,,,,,
,3.366336633663366e-09,204,,,,,,,,,
0,,204,0.06634972989559174,,,,,,,,
,3.4488448844884488e-09,209,,,,,,,,,
0,,209,0.10130088031291962,,,,,,,,
,3.531353135313531e-09,214,,,,,,,,,
0,,214,0.11024557054042816,,,,,,,,
,3.6138613861386137e-09,219,,,,,,,,,
0,,219,0.08624158799648285,,,,,,,,
,3.696369636963696e-09,224,,,,,,,,,
0,,224,0.10569395124912262,,,,,,,,
,3.778877887788779e-09,229,,,,,,,,,
0,,229,0.10557447373867035,,,,,,,,
,3.861386138613861e-09,234,,,,,,,,,
0,,234,0.1515454202890396,,,,,,,,
,3.943894389438943e-09,239,,,,,,,,,
0,,239,0.14366066455841064,,,,,,,,
,4.026402640264026e-09,244,,,,,,,,,
0,,244,0.08908773213624954,,,,,,,,
,4.108910891089109e-09,249,,,,,,,,,
0,,249,0.08585198223590851,,,,,,,,
,4.191419141914191e-09,254,,,,,,,,,
0,,254,0.10564455389976501,,,,,,,,
,4.273927392739273e-09,259,,,,,,,,,
