epoch,eval_accuracy,eval_f1,eval_loss,eval_mse,eval_pearson,eval_precision,eval_recall,eval_spearman,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
,,,,,,,,,1.3157894736842104e-10,4,,,,,,,,,
0,,,,,,,,,,4,0.09523608535528183,,,,,,,,
,,,,,,,,,2.960526315789474e-10,9,,,,,,,,,
0,,,,,,,,,,9,0.09966568648815155,,,,,,,,
,,,,,,,,,4.6052631578947367e-10,14,,,,,,,,,
0,,,,,,,,,,14,0.054539524018764496,,,,,,,,
,,,,,,,,,6.25e-10,19,,,,,,,,,
0,,,,,,,,,,19,0.06793057918548584,,,,,,,,
,,,,,,,,,7.894736842105263e-10,24,,,,,,,,,
0,,,,,,,,,,24,0.039584942162036896,,,,,,,,
,,,,,,,,,9.539473684210525e-10,29,,,,,,,,,
0,,,,,,,,,,29,0.14513547718524933,,,,,,,,
,,,,,,,,,1.1184210526315788e-09,34,,,,,,,,,
0,,,,,,,,,,34,0.09517219662666321,,,,,,,,
,,,,,,,,,1.2828947368421052e-09,39,,,,,,,,,
0,,,,,,,,,,39,0.07867872714996338,,,,,,,,
,,,,,,,,,1.4473684210526315e-09,44,,,,,,,,,
0,,,,,,,,,,44,0.07642656564712524,,,,,,,,
,,,,,,,,,1.6118421052631579e-09,49,,,,,,,,,
0,,,,,,,,,,49,0.07746496051549911,,,,,,,,
,,,,,,,,,1.7763157894736842e-09,54,,,,,,,,,
0,,,,,,,,,,54,0.0509062185883522,,,,,,,,
,,,,,,,,,1.9407894736842105e-09,59,,,,,,,,,
0,,,,,,,,,,59,0.052445318549871445,,,,,,,,
,,,,,,,,,2.1052631578947367e-09,64,,,,,,,,,
0,,,,,,,,,,64,0.13970792293548584,,,,,,,,
,,,,,,,,,2.2697368421052632e-09,69,,,,,,,,,
0,,,,,,,,,,69,0.09787265211343765,,,,,,,,
,,,,,,,,,2.4342105263157894e-09,74,,,,,,,,,
0,,,,,,,,,,74,0.050379905849695206,,,,,,,,
,,,,,,,,,2.598684210526316e-09,79,,,,,,,,,
0,,,,,,,,,,79,0.1077924519777298,,,,,,,,
,,,,,,,,,2.7631578947368416e-09,84,,,,,,,,,
0,,,,,,,,,,84,0.060270536690950394,,,,,,,,
,,,,,,,,,2.927631578947368e-09,89,,,,,,,,,
0,,,,,,,,,,89,0.08848322927951813,,,,,,,,
,,,,,,,,,3.0921052631578947e-09,94,,,,,,,,,
0,,,,,,,,,,94,0.04188859462738037,,,,,,,,
,,,,,,,,,3.256578947368421e-09,99,,,,,,,,,
0,,,,,,,,,,99,0.14375631511211395,,,,,,,,
,,,,,,,,,3.4210526315789474e-09,104,,,,,,,,,
0,,,,,,,,,,104,0.09037512540817261,,,,,,,,
,,,,,,,,,3.585526315789473e-09,109,,,,,,,,,
0,,,,,,,,,,109,0.07647670805454254,,,,,,,,
,,,,,,,,,3.75e-09,114,,,,,,,,,
0,,,,,,,,,,114,0.0717822015285492,,,,,,,,
,,,,,,,,,3.914473684210527e-09,119,,,,,,,,,
0,,,,,,,,,,119,0.09799109399318695,,,,,,,,
,,,,,,,,,4.078947368421053e-09,124,,,,,,,,,
0,,,,,,,,,,124,0.09164369106292725,,,,,,,,
,,,,,,,,,4.243421052631578e-09,129,,,,,,,,,
0,,,,,,,,,,129,0.07772977650165558,,,,,,,,
,,,,,,,,,4.407894736842105e-09,134,,,,,,,,,
0,,,,,,,,,,134,0.11423240602016449,,,,,,,,
,,,,,,,,,4.572368421052631e-09,139,,,,,,,,,
0,,,,,,,,,,139,0.09407027065753937,,,,,,,,
,,,,,,,,,4.736842105263158e-09,144,,,,,,,,,
0,,,,,,,,,,144,0.10014939308166504,,,,,,,,
,,,,,,,,,4.901315789473684e-09,149,,,,,,,,,
0,,,,,,,,,,149,0.07803603261709213,,,,,,,,
0,,,,,,,,,,151,,0.42500001192092896,0.0,0.08184710890054703,0.08184710890054703,0.09810271859169006,0.0,0.0,0.1411498636007309
,,,,,,,,,5.0657894736842096e-09,154,,,,,,,,,
1,,,,,,,,,,154,0.09625688195228577,,,,,,,,
,,,,,,,,,5.2302631578947365e-09,159,,,,,,,,,
1,,,,,,,,,,159,0.12737272679805756,,,,,,,,
,,,,,,,,,5.394736842105263e-09,164,,,,,,,,,
1,,,,,,,,,,164,0.09165875613689423,,,,,,,,
,,,,,,,,,5.55921052631579e-09,169,,,,,,,,,
1,,,,,,,,,,169,0.07998821139335632,,,,,,,,
,,,,,,,,,5.723684210526316e-09,174,,,,,,,,,
1,,,,,,,,,,174,0.12156067043542862,,,,,,,,
,,,,,,,,,5.888157894736841e-09,179,,,,,,,,,
1,,,,,,,,,,179,0.10669926553964615,,,,,,,,
,,,,,,,,,6.052631578947368e-09,184,,,,,,,,,
1,,,,,,,,,,184,0.1255529522895813,,,,,,,,
,,,,,,,,,6.217105263157894e-09,189,,,,,,,,,
1,,,,,,,,,,189,0.08307650685310364,,,,,,,,
,,,,,,,,,6.381578947368421e-09,194,,,,,,,,,
1,,,,,,,,,,194,0.14082710444927216,,,,,,,,
,,,,,,,,,6.546052631578947e-09,199,,,,,,,,,
1,,,,,,,,,,199,0.04357307776808739,,,,,,,,
,,,,,,,,,6.710526315789473e-09,204,,,,,,,,,
1,,,,,,,,,,204,0.07157573103904724,,,,,,,,
,,,,,,,,,6.8749999999999995e-09,209,,,,,,,,,
1,,,,,,,,,,209,0.09967069327831268,,,,,,,,
,,,,,,,,,7.039473684210526e-09,214,,,,,,,,,
1,,,,,,,,,,214,0.0535116009414196,,,,,,,,
,,,,,,,,,7.203947368421053e-09,219,,,,,,,,,
1,,,,,,,,,,219,0.056142643094062805,,,,,,,,
,,,,,,,,,7.368421052631579e-09,224,,,,,,,,,
1,,,,,,,,,,224,0.06456281989812851,,,,,,,,
,,,,,,,,,7.532894736842105e-09,229,,,,,,,,,
1,,,,,,,,,,229,0.11965162307024002,,,,,,,,
,,,,,,,,,7.697368421052631e-09,234,,,,,,,,,
1,,,,,,,,,,234,0.08363595604896545,,,,,,,,
,,,,,,,,,7.861842105263159e-09,239,,,,,,,,,
1,,,,,,,,,,239,0.13484546542167664,,,,,,,,
,,,,,,,,,8.026315789473683e-09,244,,,,,,,,,
1,,,,,,,,,,244,0.11527184396982193,,,,,,,,
,,,,,,,,,8.19078947368421e-09,249,,,,,,,,,
1,,,,,,,,,,249,0.0526249073445797,,,,,,,,
,,,,,,,,,8.355263157894737e-09,254,,,,,,,,,
1,,,,,,,,,,254,0.116646409034729,,,,,,,,
,,,,,,,,,8.519736842105263e-09,259,,,,,,,,,
1,,,,,,,,,,259,0.11076781898736954,,,,,,,,
